epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,109.684,0.8464,0.76002,0.78284,0.6608,0.83654,0.79496,0.62105,1.1153,0.98864,0.82855,0.000365006,0.000365006,0.000365006
129,110.237,0.80335,0.75151,0.8289,0.65251,0.83654,0.7505,0.60711,1.11186,1.00015,0.82798,0.000360006,0.000360006,0.000360006
130,110.739,0.83115,0.75186,0.80471,0.65251,0.83654,0.7505,0.60711,1.11186,1.00015,0.82798,0.000355006,0.000355006,0.000355006
131,111.361,0.8074,0.74713,0.78702,0.65601,0.83654,0.75017,0.61115,1.10046,0.95441,0.82625,0.000350006,0.000350006,0.000350006
132,111.87,0.82764,0.76721,0.84444,0.68222,0.82916,0.82552,0.65223,1.11248,0.92147,0.82965,0.000345007,0.000345007,0.000345007
133,112.37,0.78957,0.72007,0.80356,0.68222,0.82916,0.82552,0.65223,1.11248,0.92147,0.82965,0.000340007,0.000340007,0.000340007
134,112.883,0.79534,0.7475,0.79911,0.66831,0.82209,0.8273,0.65691,1.10652,0.9019,0.82681,0.000335007,0.000335007,0.000335007
135,113.47,0.70981,0.72386,0.78946,0.65553,0.82542,0.76674,0.58839,1.11471,0.89467,0.82464,0.000330007,0.000330007,0.000330007
136,113.961,0.8479,0.78238,0.81611,0.65553,0.82542,0.76674,0.58839,1.11471,0.89467,0.82464,0.000325007,0.000325007,0.000325007
137,114.462,0.84006,0.87786,0.83303,0.8522,0.70414,0.75002,0.56009,1.137,0.88075,0.82657,0.000320007,0.000320007,0.000320007
138,114.946,0.77756,0.70545,0.81681,0.8522,0.70414,0.75002,0.56009,1.137,0.88075,0.82657,0.000315007,0.000315007,0.000315007
139,115.451,0.78015,0.76392,0.82733,0.87202,0.70311,0.76511,0.57822,1.1521,0.86858,0.82221,0.000310007,0.000310007,0.000310007
140,116.027,0.79559,0.75552,0.80234,0.88058,0.70534,0.75568,0.57192,1.1455,0.85926,0.82295,0.000305007,0.000305007,0.000305007
141,116.523,0.77462,0.70754,0.7939,0.88058,0.70534,0.75568,0.57192,1.1455,0.85926,0.82295,0.000300007,0.000300007,0.000300007
142,117.032,0.78289,0.74234,0.79901,0.87957,0.70708,0.75032,0.557,1.15653,0.85037,0.82306,0.000295007,0.000295007,0.000295007
143,117.573,0.78597,0.75998,0.84967,0.87683,0.71033,0.74612,0.56061,1.15421,0.85725,0.82533,0.000290007,0.000290007,0.000290007
144,118.095,0.76521,0.70061,0.78918,0.87683,0.71033,0.74612,0.56061,1.15421,0.85725,0.82533,0.000285007,0.000285007,0.000285007
145,118.675,0.74685,0.6903,0.83358,0.87246,0.71154,0.7497,0.5626,1.15063,0.86058,0.82446,0.000280007,0.000280007,0.000280007
146,119.176,0.71509,0.70119,0.82356,0.87246,0.71154,0.7497,0.5626,1.15063,0.86058,0.82446,0.000275007,0.000275007,0.000275007
147,119.68,0.88661,0.78108,0.83049,0.86168,0.71073,0.75605,0.57309,1.15911,0.87302,0.82527,0.000270007,0.000270007,0.000270007
148,120.18,0.81896,0.73534,0.83178,0.85576,0.70976,0.84889,0.64446,1.14033,0.87301,0.82733,0.000265007,0.000265007,0.000265007
149,120.724,0.78367,0.7549,0.82382,0.85576,0.70976,0.84889,0.64446,1.14033,0.87301,0.82733,0.000260007,0.000260007,0.000260007
150,121.327,0.82955,0.728,0.82614,0.69156,0.83654,0.91065,0.70535,1.13875,0.88109,0.82895,0.000255007,0.000255007,0.000255007
151,121.839,0.80983,0.71993,0.80594,0.74585,0.83654,0.90998,0.69435,1.14161,0.89645,0.82911,0.000250008,0.000250008,0.000250008
152,122.373,0.72196,0.70359,0.81317,0.74585,0.83654,0.90998,0.69435,1.14161,0.89645,0.82911,0.000245008,0.000245008,0.000245008
153,122.922,0.79564,0.77275,0.82853,0.76974,0.83654,0.8466,0.64473,1.1305,0.90426,0.82827,0.000240008,0.000240008,0.000240008
